tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,release_year
4157,tt0806088,Heyy Babyy,24-08-2007,hi,5.924,6.1,17670,2200000,Sajid Khan,"Akshay Kumar, Riteish Deshmukh, Fardeen Khan, Vidya Balan, Boman Irani",2007
7508,tt0986264,Like Stars on Earth,21-12-2007,hi,7.955,8.3,230769,28430000,Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Tanay Chheda",2007
7913,tt0405508,Rang De Basanti,26-01-2006,hi,7.085,8.1,126334,11502151,Rakeysh Omprakash Mehra,"Aamir Khan, Siddharth, Kunal Kapoor, Sharman Joshi, Atul Kulkarni",2006
8453,tt0439662,Fanaa,26-05-2006,hi,6.758,7.1,36923,22175908,Kunal Kohli,"Aamir Khan, Kajol, Rishi Kapoor, Kirron Kher, Sanaya Irani",2006
8903,tt1233329,My Magic,23-05-2008,ta,5,6.4,329,64039,Eric Khoo,"Francis Bosco, Jathisweran, Keng Yew Seet, Jason Lim, Grace Kalaiselvi",2008
11807,tt1093370,Jab We Met,26-10-2007,hi,7.324,7.9,64896,10065630,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor Khan, Tarun Arora, Dara Singh, Pavan Malhotra",2007
12273,tt1146325,Singh Is Kinng,08-08-2008,hi,5.631,5.8,17837,25000000,Anees Bazmee,"Akshay Kumar, Katrina Kaif, Om Puri, Ranvir Shorey, Neha Dhupia",2008
13123,tt1241195,Aamir,06-06-2008,hi,6.647,7.6,11907,0,Raj Kumar Gupta,"Rajeev Khandelwal, Amar Kaushik, Vasan Bala, Gajraj Rao, Rohitashv Gour",2008
14070,tt1166100,Ghajini,25-12-2008,hi,6.986,7.4,71883,76000000,A. R. Murugadoss,"Aamir Khan, Asin Thottumkal, Jiah Khan, Pradeep Ram Singh Rawat, Riyaz Khan",2008
14071,tt1185420,Dostana,13-11-2008,hi,6.115,6.4,17212,20000000,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra Jonas, Kirron Kher, Boman Irani",2008
14072,tt1182937,Rab Ne Bana Di Jodi,11-12-2008,hi,7.096,7.2,59281,29914469,Aditya Chopra,"Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M. K. Raina, Manmeet Singh",2008
14073,tt0449994,Jodhaa Akbar,13-02-2008,hi,7.336,7.5,36438,28700000,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood, Kulbhushan Kharbanda, Suhasini Mulay",2008
14159,tt0986213,Aaja Nachle,30-11-2007,hi,6.537,6.2,3823,3800000,Anil Mehta,"Madhuri Dixit, Konkona Sen Sharma, Kunal Kapoor, Raghubir Yadav, Dalai",2007
14162,tt0833476,Jhoom Barabar Jhoom,15-06-2007,hi,3.8,3.7,3651,0,Shaad Ali,"Abhishek Bachchan, Lara Dutta, Preity Zinta, Bobby Deol, Robert Galas",2007
14163,tt0871510,Chak De! India,09-08-2007,hi,7.2,8.1,91561,40000000,Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla, Chitrashi Rawat",2007
14165,tt0833553,Ta Ra Rum Pum,27-04-2007,hi,6.199,5.9,9917,15242548,Siddharth Anand,"Saif Ali Khan, Rani Mukerji, Javed Jaffrey, Shruti Seth, Ali Haji",2007
14193,tt0995752,Tashan,25-04-2008,hi,4.4,3.9,6185,0,Vijay Krishna Acharya,"Akshay Kumar, Kareena Kapoor Khan, Saif Ali Khan, Anil Kapoor, Sanjay Mishra",2008
14194,tt0441048,Dhoom 2,24-11-2006,hi,6.62,6.6,32781,46396427,Sanjay Gadhvi,"Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra, Bipasha Basu",2006
14214,tt1191138,Thoda Pyaar Thoda Magic,27-06-2008,hi,5.353,5.1,4698,0,Kunal Kohli,"Rani Mukerji, Saif Ali Khan, Ameesha Patel, Rishi Kapoor, Shriya Sharma",2008
14394,tt0490210,Sarkar Raj,06-06-2008,hi,6.477,6.7,8115,8130000,Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan, Govind Namdeo, Tanishaa Mukerji",2008
14395,tt0449999,Kabhi Alvida Naa Kehna,11-08-2006,hi,6.379,6.1,24757,17000000,Karan Johar,"Shah Rukh Khan, Rani Mukerji, Abhishek Bachchan, Preity Zinta, Amitabh Bachchan",2006
14467,tt0473367,Jaane Tu... Ya Jaane Na,04-07-2008,hi,6.821,7.4,29394,11100000,Abbas Tyrewala,"Imran Khan, Genelia D'Souza, Manjari Fadnnis, Prateik Smita Patil, Sugandha Garg",2008
14548,tt1127870,Mumbai Salsa,22-10-2007,hi,6,5.1,196,0,Manoj Tyagi,"Vir Das, Linda Arsenio, Manjari Fadnnis, Amruta Khanvilkar, Denzil Smith",2007
14751,tt1288638,Dasvidaniya,07-11-2008,hi,7,7.8,6796,0,Shashant Shah,"Vinay Pathak, Ranvir Shorey, Rajat Kapoor, Neha Dhupia, Saurabh Shukla",2008
15411,tt1014672,Bheja Fry,13-04-2007,hi,6.466,7.6,12679,0,Sagar Ballary,"Rajat Kapoor, Vinay Pathak, Ranvir Shorey, Sarika, Tom Alter",2007
15412,tt0466460,Khosla Ka Ghosla!,22-09-2006,hi,7.254,8.2,27077,0,Dibakar Banerjee,"Anupam Kher, Boman Irani, Parvin Dabas, Ranvir Shorey, Tara Sharma",2006
15467,tt1105733,Kismat Konnection,18-07-2008,hi,4.817,5.3,6444,11000000,Aziz Mirza,"Shahid Kapoor, Vidya Balan, Juhi Chawla Mehta, Om Puri, Vishal Malhotra",2008
15532,tt1194608,Ek Vivaah… Aisa Bhi,07-11-2008,hi,6.8,5.4,611,0,Kaushik Ghatak,"Sonu Sood, Isha Koppikar, Vishal Malhotra, Anang Desai, Smita Jaykar",2008
15864,tt1182972,Bachna Ae Haseeno,15-08-2008,hi,6.12,6.2,13503,9600000,Siddharth Anand,"Ranbir Kapoor, Deepika Padukone, Bipasha Basu, Minissha Lamba, Kunal Kapoor",2008
15979,tt1267500,Phoonk,22-08-2008,hi,3.1,4,1469,2760000,Ram Gopal Varma,"Sudeepa, Amruta Khanvilkar, Ahsaas Channa, Ashwini Kalsekar, Shrey Bawa",2008
16352,tt1353170,Good Night,01-01-2008,hi,0,7.8,24,0,Geetika Narang Abbasi,"Vinod Nagpal, Shivam Pradhan, Manish Narang, Abhijeet Banerjee",2008
16383,tt1334254,Maharathi,04-12-2008,hi,6.7,7.1,1325,0,Shivam Nair,"Paresh Rawal, Neha Dhupia, Tara Sharma, Boman Irani, Om Puri",2008
16576,tt0976026,Cheeni Kum,25-05-2007,hi,6.244,6.8,5971,0,R. Balki,"Amitabh Bachchan, Tabu, Paresh Rawal, Swini Khara, Vinay Jain",2007
17059,tt1372681,Aa Dekhen Zara,27-03-2009,hi,4,5.2,999,0,Jehangir Surti,"Neil Nitin Mukesh, Bipasha Basu, Rahul Dev, Sophiya Chaudhary, Bobby Vatsa",2009
17432,tt1065099,My Friend Ganesha,06-07-2007,hi,5.2,5.6,417,0,Rajiv S. Ruia,"Ahsaas Channa, Upasna Singh, Mushtaq Khan, Kiran Janjani, Shetal Shah",2007
17501,tt0461936,Don,20-10-2006,hi,6.897,7.2,44448,15000000,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Arjun Rampal, Boman Irani, Om Puri",2006
17888,tt0479651,Dasavatharam,13-06-2008,ta,6.5,7.3,11523,0,K. S. Ravikumar,"Kamal Haasan, Asin Thottumkal, Mallika Sherawat, Jaya Prada, Napoleon",2008
18609,tt1101665,Shaurya,04-04-2008,hi,7.156,7.3,6051,0,Samar Khan,"Kay Kay Menon, Rahul Bose, Amrita Rao, Minissha Lamba, Javed Jaffrey",2008
18673,tt1105709,8 x 10 Tasveer,03-04-2009,hi,5.24,5.5,6420,0,Nagesh Kukunoor,"Akshay Kumar, Ayesha Takia, Sharmila Tagore, Girish Karnad",2009
19025,tt0995031,Bhool Bhulaiyaa,12-10-2007,hi,6.702,7.5,38206,9900000,Priyadarshan,"Akshay Kumar, Shiney Ahuja, Vidya Balan, Paresh Rawal, Ameesha Patel",2007
19276,tt1391544,Dhoondte Reh Jaaoge,06-03-2009,hi,4.6,5.7,1049,0,Umesh Shukla,"Paresh Rawal, Kunal Khemu, Sonu Sood, Soha Ali Khan, Johny Lever",2009
19418,tt0995035,Dhol,14-09-2007,hi,6.225,6.6,9159,0,Priyadarshan,"Sharman Joshi, Kunal Khemu, Tusshar Kapoor, Rajpal Yadav, Tanushree Dutta",2007
19623,tt1060249,Drona,02-10-2008,hi,3.3,2.1,2842,3250000,Goldie Behl,"Abhishek Bachchan, Priyanka Chopra Jonas, Jaya Bachchan, Ali Haji, Kay Kay Menon",2008
19637,tt0464160,Chup Chup Ke,09-06-2006,hi,6.219,7.1,15538,3912699,Priyadarshan,"Shahid Kapoor, Paresh Rawal, Rajpal Yadav, Kareena Kapoor Khan, Neha Dhupia",2006
19658,tt1017456,Race,20-03-2008,hi,6.081,6.7,17169,0,Abbas Alibhai Burmawalla,"Saif Ali Khan, Akshaye Khanna, Bipasha Basu, Katrina Kaif, Anil Kapoor",2008
19668,tt1369669,Jai Veeru,13-03-2009,hi,5.7,3.8,346,0,Puneet Sira,"Kunal Khemu, Fardeen Khan, Dia Mirza, Arbaaz Khan, Anjana Sukhani",2009
19670,tt0495034,Golmaal – Fun Unlimited,14-07-2006,hi,6.7,7.5,21381,4900000,Rohit Shetty,"Ajay Devgn, Arshad Warsi, Sharman Joshi, Tusshar Kapoor, Paresh Rawal",2006
20045,tt2777850,Guru En Aalu,24-04-2009,ta,3.5,4.7,83,0,Selva,"R. Madhavan, Mamta Mohandas, Abbas, Vivek, Cell Murugan",2009
20130,tt1245774,Jail,06-11-2009,hi,6.6,6.3,1459,0,Madhur Bhandarkar,"Neil Nitin Mukesh, Mugdha Godse, Manoj Bajpayee, Arya Babbar, Rahul Singh",2009
